event,operation,time,pkgSize,numSuccessors,version
convergence,add,0.043,110,2,2
convergence,add,0.019,110,2,3
convergence,add,2.18,376,1,1
convergence,add,0.031,121,1,2
convergence,add,2.09,373,2,3
convergence,add,491.09,127,3,4
convergence,add,0.233,115,2,5
convergence,add,0.024,1138,2,6
convergence,add,0.024,1138,2,7
convergence,add,2.629,1048694,1,1
convergence,add,14.097,4210,3,2
convergence,add,10.288,4210,3,2
convergence,add,0.025,4210,3,2
convergence,add,0.228,262266,3,3
convergence,add,0.003,262266,3,3
convergence,remove,0.01,116,3,5
convergence,add,0.219,262261,5,6
convergence,add,0.027,181,5,7
convergence,add,2.038,184,5,8
convergence,remove,2.029,126,3,9
convergence,remove,0.016,364,3,10
convergence,add,0.032,380,3,11
convergence,add,2.036,1151,3,12
convergence,add,0.012,186,3,13
convergence,remove,0.016,1130,3,14
convergence,add,2.05,16511,4,15
convergence,add,5.253,4218,3,16
convergence,add,1.668,4218,3,16
convergence,add,0.313,4218,3,16
convergence,add,2.031,126,3,17
convergence,remove,0.146,165,3,18
convergence,add,0.093,65653,3,19
convergence,add,2.063,1151,2,20
convergence,add,2.025,118,2,1
convergence,add,0.349,121,2,2
convergence,remove,0.011,105,2,3
convergence,add,2.047,367,4,4
convergence,add,0.02,139,4,5
convergence,add,0.005,139,4,5
convergence,add,0.116,121,4,7
convergence,add,0.104,65652,1,8
convergence,add,0.017,133,1,10
convergence,remove,0.004,183,1,16
